Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes,pInc,pDec,surprise,delta_NREM,delta_REM,delta_WAKE_HOMECAGE
8,3,11,9,DEn,Pyr,102,0.877525384695907,1.0804054054054053,0.8682619896948077,0.9047403244811022,23227,4.440892098500626e-16,0.9999999999999996,34.945041100449046,-0.12169733,0.28684494,-0.7350865
8,3,11,10,DEn,Int,103,8.361143096409505,5.962162162162162,8.945451843043994,8.039336535847005,224593,1.0,1.318801903251898e-248,-36.04365338911715,-0.5269947,-0.18482232,0.16928047
8,3,11,11,DEn,Pyr,104,0.8633936983146655,1.2614864864864865,0.6801179151803408,0.9167950693374423,19611,0.0,1.0,36.04365338911715,-0.17386706,0.6257932,-0.05252421
8,3,11,12,DEn,Pyr,105,1.1288600439652465,1.9094594594594594,1.8005598493856518,1.2335720112390103,38011,0.0,1.0,36.04365338911715,-0.6032543,-0.419582,-0.12115672
8,3,11,13,DEn,Pyr,106,0.6106982099863917,1.0533783783783783,0.7602556480380499,0.6700806670896402,19056,0.0,1.0,36.04365338911715,-0.34245262,0.5428511,0.23967466
8,3,11,14,DEn,Pyr,107,0.5808646498482152,1.162162162162162,0.5028735632183908,0.658841656847639,21102,0.0,1.0,36.04365338911715,-0.40756786,-0.042292416,-0.28193325
8,3,12,2,Pir,Pyr,108,0.6008583690987125,1.2608108108108107,0.7261940150614348,0.6893863862956585,17595,0.0,1.0,36.04365338911715,-0.117915615,0.32997113,0.100882106
8,3,12,3,Pir,Pyr,109,0.6917198785721763,1.1094594594594596,0.9391101862861673,0.7477567298105683,21546,0.0,1.0,36.04365338911715,-0.6107379,0.29297844,0.2855526
8,3,12,4,Pir,Pyr,110,0.2979168847482466,0.870945945945946,0.21477407847800237,0.3747847366989939,7672,0.0,1.0,36.04365338911715,-0.68757206,0.6071601,0.004849881
8,3,12,5,Pir,Pyr,111,0.1973202135454831,0.44391891891891894,0.05400317082837891,0.23039970996102602,3291,0.0,1.0,36.04365338911715,0.0051075732,-0.6198297,0.2920016
8,3,12,6,Pir,Pyr,112,0.24473987229142677,0.5033783783783784,0.1493757431629013,0.2794344240007251,5087,0.0,1.0,36.04365338911715,0.106890246,-0.42137465,0.22144113
8,3,12,7,Pir,Pyr,113,0.7754632052758296,1.2763513513513514,0.8837445501387237,0.8426538566119822,22283,0.0,1.0,36.04365338911715,-0.30703714,0.25129318,0.2346351
8,3,12,8,Pir,Pyr,114,0.1813043023134094,0.24527027027027026,0.22542608006341655,0.18988489078219886,6020,2.3337424215341684e-08,0.9999999829200317,17.573207548823394,-0.10433902,0.55326486,-0.15184715
8,3,12,9,Pir,Pyr,115,1.0599811577514917,1.9405405405405405,1.441983749504558,1.1781020574639718,34099,0.0,1.0,36.04365338911715,-0.16412383,0.21455412,0.08414954
8,3,12,10,Pir,Int,116,7.26567570396734,7.508108108108108,3.4404726516052317,7.298196320130518,135901,0.00029311211183369323,0.9997170448405969,8.13467239268881,-0.61393225,-0.34359333,-0.56741786
8,3,12,11,Pir,Pyr,117,1.4609023343452319,1.902027027027027,2.5203131193024175,1.5200761352306715,50227,0.0,1.0,36.04365338911715,-0.09782374,-0.23362145,-0.30164647
8,3,12,12,Pir,Int,118,3.297812205589867,5.193243243243243,4.776307966706302,3.5520710595486267,107983,0.0,1.0,36.04365338911715,-0.57550025,-0.59987664,-0.31922135
8,3,12,13,Pir,Int,119,3.131162985449597,2.2486486486486488,2.490215021799445,3.012779842291308,73302,1.0,4.582515062487744e-91,-36.04365338911715,0.7710427,0.67993563,0.039113626
8,3,12,14,Pir,Pyr,120,1.364492829477651,1.5885135135135136,1.8738852556480379,1.394543641801867,36616,3.4416913763379853e-13,0.9999999999997052,28.696998225940323,0.21506365,-0.033034444,-1.0033274
8,3,13,2,CeCM,Pyr,121,0.6472312362608604,0.7587837837837837,0.22678854538248117,0.6621952324843651,10631,1.1029652247085409e-07,0.999999906451445,16.02009334353835,0.7081027,0.20510054,-0.10406537
8,3,14,2,CeCM,Pyr,122,1.2258976237831047,1.2864864864864864,0.06403586999603646,1.2340251971358651,14785,0.018737462501055124,0.9822956559352984,3.9593674761821105,0.64533204,0.2075267,-1.5109057
8,3,14,3,CeCM,Pyr,123,0.7512823196901497,0.2716216216216216,0.2956549742370194,0.6869391824526421,10444,1.0,6.422876884527668e-133,-36.04365338911715,-0.06714152,-0.12078816,0.559769
8,3,14,4,CeCM,Pyr,124,0.22254789071495865,0.19324324324324324,0.22678854538248117,0.21861687664279889,5007,0.9931454091321664,0.008040765167557426,-4.816352838739379,0.006012842,0.4293791,0.0047102384
8,3,14,5,CeCM,Pyr,125,0.45493562231759654,0.41283783783783784,0.39127526753864444,0.44928849814193783,14911,0.9929172475271387,0.007905711599789624,-4.833061839190203,-0.58638966,0.34053662,-1.5031904
8,3,14,6,CeCM,Int,126,4.083638647545274,4.878378378378378,4.005771898533491,4.190247439499683,105895,0.0,1.0,36.04365338911715,1.5990524,1.4614618,1.1230386
8,3,14,7,CeCM,Pyr,127,2.0638542866115355,1.1135135135135135,0.7263178755449861,1.9363727000815734,52189,1.0,1.3447660243301858e-171,-36.04365338911715,0.103616856,0.33183828,-0.17651618
8,3,14,8,CeCM,Pyr,128,1.8951114833036742,1.5155405405405404,0.9372522790328973,1.8441946886612888,29199,1.0,2.3501787356601226e-28,-36.043653389116095,-0.016366586,0.02399566,0.41036472
8,3,15,2,CeCM,Pyr,129,0.1847587145399351,0.2114864864864865,0.0027249306381292113,0.18834405873289223,2272,0.010206708627714223,0.9912599754370596,4.575931623696871,0.29779625,-0.4678321,0.00081573427
8,3,15,3,CeCM,Pyr,130,0.9501727206113263,0.7864864864864864,0.5556381292112564,0.9282153539381854,16043,0.9999999999872072,1.5516453059011982e-11,-24.88910585712623,0.01032047,0.78637093,-0.21307778
8,3,15,4,CeCM,Int,131,0.03318329320632262,0.032432432432432434,0.004830558858501783,0.03308257047040696,466,0.5820816276593691,0.4746772150523181,-0.20397566582759125,-0.45442963,-0.2672794,0.0008599758
