Rat,Day,Shank,Id,Region,Type,SessID,pInc,pDec,surprise
8,2,9,12,LaDL,Pyr,104,1.0,2.665584414056394e-177,-36.04365338911715
8,2,9,13,LaDL,Pyr,105,0.0,1.0,36.04365338911715
8,2,9,14,LaDL,Pyr,106,0.000402043396904,0.9996399740588828,7.818590431907416
8,2,10,2,DEn,Pyr,107,1.0,0.0,-36.04365338911715
8,2,10,3,DEn,Pyr,108,0.9999999998487274,1.820009007938167e-10,-22.427008259277635
8,2,10,4,DEn,Int,109,1.0,1.8723401657641896e-259,-36.04365338911715
8,2,10,5,DEn,Pyr,110,1.0,1.083578383372258e-63,-36.04365338911715
8,2,10,6,DEn,Pyr,111,0.0,1.0,36.04365338911715
8,2,10,7,DEn,Pyr,112,1.0,4.4494789150517155e-192,-36.04365338911715
8,2,10,8,DEn,Pyr,113,1.0,2.1412592153479224e-59,-36.04365338911715
8,2,10,9,DEn,Pyr,114,1.0,2.2099243571621002e-17,-35.94877407929277
8,2,10,10,DEn,Pyr,115,1.0,1.6236483524801675e-55,-36.04365338911715
8,2,10,11,DEn,Int,116,0.0,1.0,36.04365338911715
8,2,10,12,DEn,Int,117,1.0,0.0,-36.04365338911715
8,2,10,13,DEn,Pyr,118,1.0,0.0,-36.04365338911715
8,2,10,14,DEn,Int,119,0.0,1.0,36.04365338911715
8,2,10,15,DEn,Pyr,120,0.0,1.0,36.04365338911715
8,2,10,16,DEn,Pyr,121,1.0,1.9618479494716825e-258,-36.04365338911715
8,2,10,17,DEn,Pyr,122,0.0024000519616959,0.9977880296832196,6.030050470819189
8,2,10,18,DEn,Int,123,0.9999999999946808,5.751815846693501e-12,-25.881466908026454
8,2,11,2,DEn,Pyr,124,4.38535308067145e-09,0.9999999965888552,19.244995640211943
8,2,11,3,DEn,Pyr,125,0.9999995610000396,5.01605853950315e-07,-14.505450737698222
8,2,11,4,DEn,Pyr,126,1.0,1.786500700435356e-48,-36.04365338911715
8,2,11,5,DEn,Pyr,127,0.9999999999999912,1.9807368652930923e-14,-31.54157453882945
8,2,11,6,DEn,Pyr,128,1.0,3.1276160701484367e-227,-36.04365338911715
8,2,11,7,DEn,Pyr,129,1.0,0.0,-36.04365338911715
8,2,11,8,DEn,Int,130,0.0,1.0,36.04365338911715
8,2,11,9,DEn,Pyr,131,0.0,1.0,36.04365338911715
8,2,12,2,Pir,Int,132,1.0,4.73407114701131e-101,-36.04365338911715
8,2,12,3,Pir,Int,133,1.9539925233402755e-14,0.9999999999999876,31.555017019385005
8,2,12,4,Pir,Pyr,134,0.998743964282704,0.0014600214977789,-6.528047293672731
8,2,12,5,Pir,Pyr,135,0.0021875435564177,0.9983527629142488,6.123327433152931
8,2,12,6,Pir,Int,136,0.0,1.0,36.04365338911715
8,2,12,7,Pir,Int,137,0.0,1.0,36.04365338911715
8,2,12,8,Pir,Pyr,138,1.0,1.3109593001090366e-178,-36.04365338911715
8,2,13,2,CeCM,Pyr,139,0.2217107926341326,0.7840593703201008,1.2631109482404197
8,2,13,3,CeCM,Int,140,0.0,1.0,36.04365338911715
8,2,14,2,CeCM,Int,141,0.9999999993472524,7.228239710119736e-10,-21.04785508581658
8,2,14,3,CeCM,Int,142,0.9866303334163028,0.0147505525447032,-4.203014890989674
8,2,14,4,CeCM,Pyr,143,0.0,1.0,36.04365338911715
8,2,14,5,CeCM,Pyr,144,0.9999999999927848,9.94823032166281e-12,-25.33360411792722
8,2,14,6,CeCM,Pyr,145,0.0,1.0,36.04365338911715
8,2,15,2,CeCM,Pyr,146,0.0,1.0,36.04365338911715
8,2,15,3,CeCM,Pyr,147,0.0,1.0,36.04365338911715
8,2,15,4,CeCM,Pyr,148,0.0,1.0,36.04365338911715
8,2,15,5,CeCM,Pyr,149,1.0,2.7573760660141886e-264,-36.04365338911715
8,2,15,6,CeCM,Pyr,150,0.0,1.0,36.04365338911715
8,2,16,2,BLA,Pyr,151,0.0,1.0,36.04365338911715
8,2,16,3,BLA,Pyr,152,0.0,1.0,36.04365338911715
8,2,16,4,BLA,Pyr,153,0.0,1.0,36.04365338911715
8,2,16,5,BLA,Pyr,154,0.0,1.0,36.04365338911715
8,2,16,6,BLA,Pyr,155,0.999996447178236,4.434902732156904e-06,-12.326001321435015
8,2,17,2,BLA,Pyr,156,1.0,2.8442112142374986e-29,-36.04365338911703
8,2,17,3,BLA,Pyr,157,0.0,1.0,36.04365338911715
8,2,17,4,BLA,Int,158,1.0,3.603661553113226e-52,-36.04365338911715
8,2,17,5,BLA,Pyr,159,0.0,1.0,36.04365338911715
8,2,17,6,BLA,Pyr,160,0.0,1.0,36.04365338911715
8,2,17,7,BLA,Pyr,161,1.0,2.979233712000906e-74,-36.04365338911715
8,2,17,8,BLA,Pyr,162,1.0,2.5480234066977122e-20,-36.043538642928105
8,2,17,9,BLA,Pyr,163,1.0,9.836918551410822e-103,-36.04365338911715
8,2,17,10,BLA,Pyr,164,0.700382573440711,0.3093009619243054,-0.8173119295446937
8,2,17,11,BLA,Pyr,165,0.2430642494114515,0.7668796131445721,1.1490040216945572
8,2,17,12,BLA,Int,166,0.0,1.0,36.04365338911715
8,2,17,13,BLA,Pyr,167,1.0,8.285904021197973e-153,-36.04365338911715
8,2,17,14,BLA,Pyr,168,0.0,1.0,36.04365338911715
